name,details,link,img
REMY,Young Male Labrador Retriever & Rhodesian Ridgeback Mix,https://www.petfinder.com/dog/remy-54461980/il/westmont/a-caring-place-all-breed-dog-rescue-il201/,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/54461980/1/?bust=1649835498&width=300
Juliette ,Young Female Husky Mix,https://www.petfinder.com/dog/juliette-54609798/il/lombard/animal-heartline-humane-association-il115/,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/54609798/2/?bust=1647816693&width=300
Duke,Young Male Mixed Breed,https://www.petfinder.com/dog/duke-54536139/il/lombard/little-giants-dog-rescue-il936/,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/54536139/4/?bust=1648737931&width=300
JoJo,Young Female German Shepherd Dog,https://www.petfinder.com/dog/jojo-55259770/il/hillside/magnificent-mutts-rescue-il274/,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/55259770/1/?bust=1649804669&width=300
Loba,Young Female German Shepherd Dog Mix,https://www.petfinder.com/dog/loba-54800238/il/hillside/magnificent-mutts-rescue-il274/,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/54800238/1/?bust=1649804460&width=300
Cody,Young Male Hound Mix,https://www.petfinder.com/dog/cody-53832185/il/elmhurst/underdog-railway-rescue-il843/,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/53832185/1/?bust=1638987008&width=300
Annie,Young Female Terrier & Mountain Cur Mix,https://www.petfinder.com/dog/annie-53207632/il/elmhurst/underdog-railway-rescue-il843/,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/53207632/1/?bust=1633713860&width=300
Owen,Young Male Greyhound & Labrador Retriever Mix,https://www.petfinder.com/dog/owen-55283454/il/lemont/ruby-whiskers-animal-rescue-il979/,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/55283454/1/?bust=1649791699&width=300
Buckshot,Young Male German Shepherd Dog Mix,https://www.petfinder.com/dog/buckshot-55157280/il/lemont/ruby-whiskers-animal-rescue-il979/,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/55157280/1/?bust=1648668826&width=300
Spot,Young Female Labrador Retriever Mix,https://www.petfinder.com/dog/spot-54800057/il/lemont/ruby-whiskers-animal-rescue-il979/,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/54800057/1/?bust=1646152742&width=300
Coco (HW+),Young Female Labrador Retriever Mix,https://www.petfinder.com/dog/coco-hw-54743651/il/lemont/ruby-whiskers-animal-rescue-il979/,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/54743651/1/?bust=1645736073&width=300
